artist_id,artist_name,genre
christophe-23216,CHRISTOPHE,Variété Française
rencontres-ballet-julien-lestel-220441,RENCONTRES (Ballet Julien Lestel),Danse
chassol-106890,CHASSOL,Scène Française
not-all-men-12979,TIKIMAN - PAUL ST HILAIRE,Reggae
david-cassan-131603,DAVID CASSAN,Classique
romain-humeau-29600,ROMAIN HUMEAU,Scène Française
starmusical-224903,STARMUSICAL,Spectacle Musical
feldub-109023,FELDUB,Electro
les-choeurs-de-france-79365,LES CHOEURS DE FRANCE,Variété Française
renan-luce-30857,RENAN LUCE,Scène Française
christophe-mae-41720,CHRISTOPHE MAE,Variété Française
don-juan-28573,DON JUAN,World
alexia-169227,ALEXIA,World
dub-inc-17246,DUB INC,Reggae
eric-antoine-50209,ERIC ANTOINE,Spectacles / cabaret
getdown-services-233081,GETDOWN SERVICES,Rock
julian-mayorga-172915,JULIAN MAYORGA,Electro
7-jaws-166532,7 JAWS,Hip-Hop/Rap/R'n'B
faf-larage-39641,FAF LARAGE,Hip-Hop/Rap/R'n'B
orchestre-de-chambre-nouvelle-aquitaine-onca-165025,ORCHESTRE DE CHAMBRE NOUVELLE AQUITAINE (ONCA),Classique
nicolas-horvath-88976,NICOLAS HORVATH,Classique
cest-dans-la-tete-5658,DRAGIBUS,Scène Française
certifie-mado-7099,LILLE,Rock
moliere-lopera-urbain-204967,MOLIERE L’OPERA URBAIN,Spectacle Musical
meryem-benoua-194103,MERYEM BENOUA,Humour
jazzymute-91452,JAZZYMUTE,Jazz / Blues
santa-salut-204153,SANTA SALUT,Hip-Hop/Rap/R'n'B
lone-104857,LONE,Electro
the-very-small-orchestra-83072,THE VERY SMALL ORCHESTRA,Scène Française
ratu-196473,RATU$,Hip-Hop/Rap/R'n'B
le-lac-des-cygnes-st-petersbourg-ballets-russes-94226,LE LAC DES CYGNES (St Petersbourg Ballets Russes),Danse
hugo-lx-159176,HUGO LX,Electro
slowfest-orchestra-167897,SLOWFEST ORCHESTRA,Electro
dmx-krew-146282,DMX KREW,Dj
romuald-maufras-113747,ROMUALD MAUFRAS,Humour
santa-44957,SANTA,Scène Française
juniore-128305,JUNIORE,Scène Française
smeels-174353,SMEELS,Hip-Hop/Rap/R'n'B
tunng-37375,TUNNG,Rock
clement-lanoue-clement-lincruste-68562,CLEMENT LANOUE (Clement l'incruste),Humour
guillaume-meurice-67844,GUILLAUME MEURICE,Humour
julie-lagarrigue-172676,JULIE LAGARRIGUE,Scène Française
paolo-cortes-138893,PAOLO CORTES,Dj
hubris-163240,HUBRIS,Rock
pauline-croze-27974,PAULINE CROZE,Scène Française
kammerensemble-cologne-201003,KAMMERENSEMBLE COLOGNE,Classique
myako-45476,MYAKO,Dj
the-steady-45s-157476,THE STEADY 45'S,Reggae
orpheu-the-wizard-171889,ORPHEU THE WIZARD,Electro
nuit-incolore-191879,NUIT INCOLORE,Scène Française
the-wackids-80498,THE WACKIDS,Spectacle pour enfants
nadia-rose-160776,NADIA ROSE,Hip-Hop/Rap/R'n'B
extravagant-cirque-arlette-gruss-200529,EXTRAVAGANT (Cirque Arlette Gruss),Cirque
jean-jacques-milteau-348,JEAN JACQUES MILTEAU,Jazz / Blues
le-choeur-voyageur-118072,LE CHOEUR VOYAGEUR,Classique
hill-billy-178660,HILL BILLY,Electro
the-doug-183322,THE DOUG,Scène Française
dieze-18879,DIEZE,Scène Française
ormuz-47056,ORMUZ,World
valentin-goostman-232319,VALENTIN GOOSTMAN,Electro
jean-baptiste-guegan-168394,JEAN BAPTISTE GUEGAN,Variété Française
mario-canonge-681,MARIO CANONGE,Jazz / Blues
lindsey-stirling-118902,LINDSEY STIRLING,Variété pop internationale
mondo-generator-142574,MONDO GENERATOR,Electro
tony-saint-laurent-97359,TONY SAINT LAURENT,Humour
giselles-derouault--pietragalla-214527,GISELLE(S) (Derouault / Pietragalla),Danse
blackberry-smoke-70164,BLACKBERRY SMOKE,Rock
holiday-on-ice---atlantis-162750,HOLIDAY ON ICE - ATLANTIS,Spectacle Musical
charlene-darling-177905,CHARLENE DARLING,Rock
orchestre-de-pau-pays-du-bearn--oppb-63999,ORCHESTRE DE PAU PAYS DU BEARN / OPPB,Classique
un-spectacle-drole-671,ASSASSIN,Hip-Hop/Rap/R'n'B
luis-garate-blanes-92345,LUIS GARATE BLANES,World
cash-savage-and-the-last-drinks-178098,CASH SAVAGE AND THE LAST DRINKS,Rock
lightnib-gbird-243947,LIGHTNIB GBIRD,Jazz / Blues
vokalensemble-penzberg-baviere-159596,VOKALENSEMBLE PENZBERG BAVIERE,Classique
carole-masseport-30861,CAROLE MASSEPORT,Scène Française
melange-duo-140587,MELANGE DUO,World
jurassic-park---cine-concert-178319,JURASSIC PARK - CINE CONCERT,Ciné-concert
nora-hamzawi-62000,NORA HAMZAWI,Humour
mister-tchang-31949,MISTER TCHANG,Jazz / Blues
alam-45259,ALAM,Reggae
blue-eyes-beard-167933,BLUE EYES BEARD,Jazz / Blues
elsa-dreisig-161769,ELSA DREISIG,Classique
justice-11587,JUSTICE,Electro
vous-couperez-380,GARY CLAIL,Electro
lauer-127203,LAUER,Dj
saro-88326,SARO,Hip-Hop/Rap/R'n'B
ensemble-jupiter-168916,ENSEMBLE JUPITER,Classique
martine-marcuz-200913,MARTINE MARCUZ,Classique
heeka-181893,HEEKA,Jazz / Blues
le-lac-des-cygnes-international-festival-ballet-200387,LE LAC DES CYGNES (International Festival Ballet & Festival Orchestra),Danse
la-haine-226465,LA HAINE,Spectacle Musical
jyeuhair-175923,JYEUHAIR,Hip-Hop/Rap/R'n'B
jovonn-130009,JOVONN,Electro
obsimo-160470,OBSIMO,Scène Française
folamour-139605,FOLAMOUR,Dj
michel-cloup-89380,MICHEL CLOUP,Scène Française
dadju-162777,DADJU,Hip-Hop/Rap/R'n'B
warend-202171,WAREND,Hip-Hop/Rap/R'n'B
emily-jane-white-51304,EMILY JANE WHITE,Rock
notre-dame-de-paris-145561,NOTRE DAME DE PARIS,Spectacle Musical
clara-luciani-146797,CLARA LUCIANI,Scène Française
les-peres-peinards-76720,LES PERES PEINARDS,Jazz / Blues
matthieu-arama-107459,MATTHIEU ARAMA,Classique
inzeshel-231085,INZESHEL,Hip-Hop/Rap/R'n'B
les-bedaines-de-coton-169180,LES BEDAINES DE COTON,Spectacle Musical
les-coquettes-138217,LES COQUETTES,Scène Française
lucky-pepper-168236,LUCKY PEPPER,Rock
queen-extravaganza-130816,QUEEN EXTRAVAGANZA,Rock
dominique-commet-167782,DOMINIQUE COMMET,Spectacle Musical
david-jarre-234197,DAVID JARRE,Spectacle/évènement
disney-sur-glace---la-magie-eternelle-176048,DISNEY SUR GLACE - LA MAGIE ETERNELLE,Spectacle pour enfants
archimede-43249,ARCHIMEDE,Scène Française
pierre-lapointe-26145,PIERRE LAPOINTE,Variété pop internationale
jozef-van-wissem-69931,JOZEF VAN WISSEM,World
lamomali-156231,LAMOMALI,World
twin-tribes-187893,TWIN TRIBES,Rock
yves-cusset-74529,YVES CUSSET,Humour
kompromat-175468,KOMPROMAT,Electro
malik-djoudi-158014,MALIK DJOUDI,Scène Française
kid-palace-136394,KID PALACE,Spectacle pour enfants
