venue_id,venue_name
arkea-arena---bordeaux-53144,ARKEA ARENA - BORDEAUX(33)
opera-national-de-bordeaux--grand-theatre-auditorium-8446,OPERA NATIONAL DE BORDEAUX / GRAND THEATRE/ AUDITORIUM(33)
theatre-casino-barriere-a-bordeaux-18073,THEATRE CASINO BARRIERE A BORDEAUX(33)
iboat-a-bordeaux-39764,IBOAT A BORDEAUX(33)
limpromptu-a-bordeaux-68893,L'IMPROMPTU A BORDEAUX(33)
theatre-trianon-ex-centre-jean-vigo-a-bordeaux-22190,THEATRE TRIANON (ex CENTRE JEAN VIGO) A BORDEAUX(33)
salle-des-fetes-du-grand-parc-a-bordeaux-27751,SALLE DES FETES DU GRAND PARC A BORDEAUX(33)
palais-des-congres-de-bordeaux-13041,PALAIS DES CONGRES DE BORDEAUX(33)
galerie-tatry--cafe-theatre-des-chartrons-de-bordeaux-18820,GALERIE TATRY / CAFE THEATRE DES CHARTRONS DE BORDEAUX(33)
chapiteau-a-bordeaux-51917,CHAPITEAU A BORDEAUX(33)
eglise-notre-dame-a-bordeaux-16349,EGLISE NOTRE DAME A BORDEAUX(33)
theatre-victoire-a-bordeaux-36992,THEATRE VICTOIRE A BORDEAUX(33)
blonde-venus-a-bordeaux-64359,BLONDE VENUS A BORDEAUX(33)
cafe-theatre-des-beaux-arts-a-bordeaux-22142,CAFE THEATRE DES BEAUX ARTS A BORDEAUX(33)
theatre-la-pergola-a-bordeaux-30565,THEATRE LA PERGOLA A BORDEAUX(33)
theatre-inox-ex---theatre-onyx-a-bordeaux-20279,THEATRE INOX (EX - THEATRE ONYX) A BORDEAUX(33)
cinema-cgr-bordeaux-le-francais-74207,CINEMA CGR BORDEAUX LE FRANCAIS(33)
la-grande-poste-a-bordeaux-55819,LA GRANDE POSTE A BORDEAUX(33)
theatre-des-salinieres-a-bordeaux-23597,THEATRE DES SALINIERES A BORDEAUX(33)
la-sirene-a-bordeaux-52740,LA SIRENE A BORDEAUX(33)
goethe-institut-a-bordeaux-21971,GOETHE INSTITUT A BORDEAUX(33)
cest-chez-nous-a-bordeaux-41751,C'EST CHEZ NOUS A BORDEAUX(33)
bistrot-boheme-a-bordeaux-62399,BISTROT BOHEME A BORDEAUX(33)
virgin-megastore-bordeaux-30403,VIRGIN MEGASTORE BORDEAUX(33)
pont-chaban-delmas-a-bordeaux-47880,PONT CHABAN DELMAS A BORDEAUX(33)
chez-le-pepere-a-bordeaux-37292,CHEZ LE PEPERE A BORDEAUX(33)
brasserie-des-halles-a-bordeaux-55633,BRASSERIE DES HALLES A BORDEAUX(33)
eglise-du-sacre-coeur-a-bordeaux-24236,EGLISE DU SACRE COEUR A BORDEAUX(33)
le-titi-twister-a-bordeaux-42769,LE TITI TWISTER A BORDEAUX(33)
reine-cargo-a-bordeaux-69945,REINE CARGO A BORDEAUX(33)
lannexe-a-bordeaux-32803,L'ANNEXE A BORDEAUX(33)
